Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cayman Islands,CYM,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,92896448.04,92896448.04,102111303.6,115161679.9,122071106.2,132820627.5,131285961.8,149711098.7,155083572.2,169673188.4,168904712,159692143.6,175814138.3,201148701.6,189632991,191936133.1,176582614.8,175814138.3,191936133.1,197310893.8,204220320.1,202973833.1,203694279.7,203408388.2,206514313.7,205569728.1,201489484.3,190538695.4,192780084.9,218016301.5,226300294.2,200275017.1,196270248.6,199607174.5,208190781.6,202344871.7,216920765.1,213929196.2,197432111.8,207371988.3,218750470.9,232031847.5,243796855.5,247753594.2,250065884.8,254409148.8,267397772.5,278323403,213794255.4,216358130.6,219171303.2,223554899.2,239650284.8
Chad,TCD,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933046157,1024060738,1157654754,1275520863,1386316288,1504053977,1818521130,1965821356,1881291131,1770294954,1740010747
Channel Islands,CHI,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,15538565381,16294890744,18311616704,19702073812,19978125131,19989175685,21517764708,22095368623,22993013561,23866007264,24319929988,26731713225,26151771692,24290603520,25666397394,20068017132,20858981728,22083680538,23687498328,25845756373,27962787354,29719825314,25355706840,25161684627,26937636034,28218012631,29851841031,31112783744,33685924596,36622272846,37232967904,39975009702,43672189927,47007347851,49113733494,53222537249,56755877879,61063077451,63641626170,64334810082,67088599513,68237118509,68391810333,69686611257,72340962593,73395090922,76313531316,76690988685,77854028192,75693364798,78007185465,80242655198,84088061087,87716036322,88139004077,88991954735,88056620559,87729632238
China,CHN,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,28995580398,16846432208,15060710399,17244513405,21641864327,26835911769,32793484178,28104015942,25518446468,33939533811,45682612504,51347256454,54787522645,59334887025,60165575445,69611570780,67940893084,76909090976,88470827722,95725435595,1.09E+11,1.11E+11,1.17E+11,1.29E+11,1.48E+11,1.75E+11,1.93E+11,2.19E+11,2.50E+11,2.60E+11,2.68E+11,3.05E+11,3.69E+11,4.42E+11,5.22E+11,5.94E+11,6.66E+11,7.36E+11,8.01E+11,8.67E+11,9.49E+11,1.03E+12,1.13E+12,1.27E+12,1.42E+12,1.59E+12,1.80E+12,2.07E+12,2.28E+12,2.51E+12,2.83E+12,3.13E+12,3.40E+12,3.67E+12,3.94E+12,4.18E+12,4.44E+12,4.72E+12
Colombia,COL,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,17190080645,17737867733,19042122837,20007271248,21598462646,22667951121,24259141918,26711142465,29293567106,30832587637,30858671735,32241183540,32710714528,35240968837,37066925395,38397266867,38058160642,37875563543,39179820117,41840500256,44344668999,48961731260,51935432994,53891815917,56369899226,57256793007,58117602022,59917471677,61892191020,66947840628,70532049454,68803583673,69756141166,70269553985,65125505600,62273130480,62501279905,64107072824,67104358563,71008410707,74404411256,79317277472,83968464315,87268977405,88699102556,91903399275,98857218815,1.02E+11,1.06E+11,1.09E+11,1.12E+11,1.12E+11,1.11E+11
Comoros,COM,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,35413387.38,35726519.26,40348905.07,40602384.4,43435451.83,41651103.75,41785305.82,34807013.78,32018671.1,27346590.24,27962906.92,27053342.05,39588438.26,44240638.91,43097469.95,44578619.3,43107410.55,40970181.62,42694875.66,43927510.02,43913494.27,47250915.92,49454483.45,51044979.4,51671237.18,52963515.14,54520613.66,52148385.96,54429753.59,55558011.66,62620807.74,64559463.25,66565294.85,68640828.45,68199634.31,,,
"Congo, Dem. Rep.",COD,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,9764814417,11115604991,13225338402,14164249204,14204478303,15499913663,16512137548,15783898007,14382966063,14094283253,12987183543,12097448278,12684211618,12746646918,12316293792,12803352998,14403240991,14448232937,15146414148,15287439785,14992900610,14335193472,11624549101,9313800216,6526740245,5580555923,5464696790,4898273516,5186132418,4157239559,4072567485,4313527748,4771276448,4386297104,4608996741,4720662894,4992078076,5702372873,5850499765,6112128063,6384342114,6484562880,8343594690,9650032311,10514387188,11613244417,13311799232,14098717448,14168577458,15261044087
"Congo, Rep.",COG,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,421304220.7,479763700.9,503472136,483150810.3,500084861.9,550883880.7,581364701.2,733764491.3,737865931.4,764245311.9,880850193,889508761.5,949841980.7,1087773816,1358465954,1716746761,1885701606,1508963775,1576440832,1962464304,2448223931,2355229283,3314567904,3893943595,4228095155,4023292586,3676233073,3734682648,3845868886,4244263732,4432844177,4447873193,4585213180,4807455737,4657268720,4893734014,5207825311,5856521514,6186865132,6382322307,6570685980,6365146288,6452457717,6209130784,6336519590,7052187039,7551722918,6772509998,7194060954,8112405424,9051203670,8962675606,8645792374,8358824040,8833669392,8853192800,8436674345,9151590655
Costa Rica,CRI,"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,705130173.1,697706544,756631893.9,829476538.3,881094070.4,1053691829,1136975707,1217127738,1376039869,1461179655,1591209217,1750585326,1969002511,2136730206,2383681980,2468241794,2683759123,2966437126,3190306043,3379376682,3418582741,3274865855,2833275719,2948921994,3231657621,3291281861,3520876016,3814202196,3986921039,4242738424,4280036832,4361006428,4844172088,5137349454,5324069026,5550995039,5354392934,5761860568,6249579911,6394740718,6639737364,6855104004,7035525014,7226507094,7556172344,7795621364,8273511051,8837702400,8932817159,8441196673,8661110429,8869020118,9222850138,8858109040,8983603122,9011953860,9230544044,9343419508
