Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lao PDR,LAO,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Latvia,LVA,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11
Lebanon,LBN,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,
Lesotho,LSO,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,
Liberia,LBR,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Libya,LBY,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Liechtenstein,LIE,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Lithuania,LTU,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Luxembourg,LUX,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,
"Macao SAR, China",MAC,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
"Macedonia, FYR",MKD,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,13,13,13,13,13,13,13,
Madagascar,MDG,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Malawi,MWI,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Malaysia,MYS,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Maldives,MDV,"Compulsory education, duration (years)",SE.COM.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
